Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,239174.52,148579.45,1385000.00,1483,0,1111,0,870,0,305,0,34,0.38445752918301174,3444
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,4566257.32,1230906.12,7577000.00,19858,0,17339,0,12353,0,3066,0,239,0.7414926646191299,31656
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,11991236.94,2818824.14,31975000.00,44535,0,13119,0,70134,0,12763,0,757,0.7155588828123178,139248
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,2087264.84,1282477.06,163514500.00,19556,3614,0,8469,19180,1165,9817,453,391,0.9113342491548876,97020
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,2747818.73,1664467.65,190011600.00,22638,0,8770,0,19695,0,11391,0,406,0.9128064816449579,106404
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,1893846.66,872950.57,149761800.00,15173,2679,0,6703,15549,709,8726,351,354,0.9024708731373018,79704
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,1944533.29,884156.43,180484000.00,16113,3160,0,7324,16395,1181,9436,374,353,0.9224250689551287,91176
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,1967872.69,821640.00,184243500.00,16099,2987,0,7625,15868,894,9648,435,361,0.917037257637999,88584
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,482900.65,312950.00,194689000.00,7791,12613,0,9107,3526,14303,8906,595,361,0.9220116405396734,89316
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,17267186.59,0.00,0,27033,0,12515,0,23401,0,9660,223,1.133007155931105,88716
