Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
b5ae2539-cb53-3242-bf5b-b810dcc2c508,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,GA,30720,34.769222,-84.97041999999998,7062726105,576150.8000000082,1233
bdf9ff67-ca46-3954-a4b2-52296aff635f,UPSON REGIONAL MEDICAL CENTER,801 W GORDON STREET,THOMASTON,GA,30286,32.891673,-84.326691,7066478111,58987.50000000052,534
2008ee50-2097-3262-a994-b258c6bc3f1d,MEMORIAL SATILLA HEALTH,1900 TEBEAU STREET,WAYCROSS,GA,31501,31.211006,-82.357658,9122872500,72976.40999999999,530
2f5ed0cf-6fbc-3413-9e96-abb7b91d3421,NORTHSIDE HOSPITAL FORSYTH,1200 NORTHSIDE FORSYTH DRIVE,CUMMING,GA,30041,34.207649,-84.13357099999998,7708443200,428812.17000000214,930
ef976bcb-30e8-3371-98fa-b3e511a7b12f,ST MARY'S HOSPITAL,1230 BAXTER STREET,ATHENS,GA,30606,33.949597,-83.370088,7063893930,986926.9300000363,2049
48264bd0-fa65-3754-8891-c84e9d86bff6,PHOEBE PUTNEY MEMORIAL HOSPITAL,417 THIRD AVENUE,ALBANY,GA,31703,31.577669,-84.17945300000002,2293124068,104846.75999999809,1176
348c48e5-e511-362d-a05a-69882df35faa,NORTHSIDE HOSPITAL CHEROKEE,450 NORTHSIDE CHEROKEE BOULEVARD,CANTON,GA,30115,34.247201000000004,-84.490723,7702441000,142478.03999999573,1623
4bd8c4a2-d5ef-3625-a1b4-c31eac977cb2,EMORY UNIVERSITY HOSPITAL,1364 CLIFTON ROAD  NE,ATLANTA,GA,30322,33.762909,-84.422675,4046868500,327758.26999999786,4601
6e0d0fc7-555d-3513-abf1-2da7126d10a7,TANNER MEDICAL CENTER - CARROLLTON,705 DIXIE STREET,CARROLLTON,GA,30117,33.584926,-85.034942,7708369580,39662.82000000031,357
93b0bfc0-5c96-3695-b4f4-31d8121c9998,TANNER MEDICAL CENTER VILLA RICA,601 DALLAS HIGHWAY,VILLA RICA,GA,30180,33.72096,-84.95071800000002,7704563101,45967.5000000004,547
1362d781-836f-35ad-95d1-749a00346e77,WELLSTAR WEST GEORGIA MEDICAL CENTER,1514 VERNON ROAD,LAGRANGE,GA,30240,33.030397,-85.03787,7068821411,177240.3999999986,1145
dc3aa464-1a60-34f8-bdd8-b06fcc5a2544,PIEDMONT NEWTON HOSPITAL,5126 HOSPITAL DRIVE NE,COVINGTON,GA,30014,33.605079,-83.847436,7707867053,4984.919999999999,62
b9edceda-bd2d-396a-9acc-1275f959d336,GORDON HOSPITAL,1035 RED BUD ROAD,CALHOUN,GA,30701,34.483191,-84.94508,7066292895,47887.92000000043,504
8b2f7617-d618-3b88-b48f-d8ef71649327,CANDLER HOSPITAL,5353 REYNOLDS STREET,SAVANNAH,GA,31412,31.916773,-81.119488,9128196000,204944.76,751
603f88d8-4c4f-310e-9e87-10ca456ee786,SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS,2415 PARKWOOD DRIVE,BRUNSWICK,GA,31520,31.13617,-81.466915,9124667000,1786749.609999975,2160
96b94ec0-5efa-3947-a0f1-e75dc48d4a25,ELBERT MEMORIAL HOSPITAL,4 MEDICAL DRIVE,ELBERTON,GA,30635,34.106786,-82.87263399999998,7062132535,517876.4999999995,297
ac779617-f1ce-3e70-a1fe-bb2ecf521242,ST MARY'S SACRED HEART HOSPITAL  INC,367 CLEAR CREEK PARKWAY,LAVONIA,GA,30553,34.453396000000005,-83.133218,7063567800,764178.8900000007,972
9e9add85-abda-3b47-be83-2c8662d18054,UNIVERSITY HOSPITAL,1350 WALTON WAY,AUGUSTA,GA,30901,33.365531,-82.073422,7067229011,21757.950000000066,239
5e2da040-7980-30bb-9fa7-8bb99d47d11f,NORTHEAST GEORGIA MEDICAL CENTER  INC,743 SPRING STREET,GAINESVILLE,GA,30501,34.289658,-83.829893,7705353553,276235.13999999635,1858
